group_name,county_count,mean_burden,mean_capacity,mean_vulnerability,mean_egi,max_egi,top_egi_county
Delta,18,59.18,73.5,75.99,69.56,87.35,"Issaquena County"
Non-Delta,64,47.1,69.94,42.69,53.24,78.65,"Noxubee County"
